Site Name,Power Plant Type,Plant Status,State,Lat,Lon,Plant Owner,Plant Operator,Nameplate Capacity (MW),Planned Capacity (MW),Max Tower  Capacity (MWe),Max Trough Capacity (MWe),Solar-Augment Potential,Reason Not Considered
Hermiston Power Project,Natural Gas Combined Cycle,Operating,OR,45.7931,-119.3117,Hermiston Power Partnership,Hermiston Power Partnership,615,NA,74,64,Fair,
Cass County,Natural Gas Combined Cycle,Planned,NE,40.9472,-95.9667,Omaha Public Power District,Omaha Public Power District,190,190,26,22,Fair,
Coyote Springs,Natural Gas Combined Cycle,Operating,OR,45.8486,-119.6744,Portland General Electric Co,Portland General Electric Co,225.4,NA,37,31,Fair,
C W Burdick,Natural Gas Combined Cycle,Operating,NE,40.9228,-98.3269,Grand Island Utilities,Grand Island Utilities,54,NA,0,0,Not Considered,Plant Too Old
Canaday,Natural Gas Combined Cycle,Operating,NE,40.6941,-99.7005,Nebraska Public Power District,Nebraska Public Power District,110.9,NA,0,0,Not Considered,Plant Too Old
Anadarko (OK),Natural Gas Combined Cycle,Operating,OK,35.0847,-98.23,Western Farmers Electric Cooperative Inc.,Western Farmers Electric Cooperative Inc.,315.3,NA,0,0,Not Considered,Plant Too Old
Hermiston Generating Plant,Natural Gas Combined Cycle,Operating,OR,45.8042,-119.37,"Hermiston Generating Co LP, PacifiCorp",PacifiCorp,464,NA,86,72,Fair,
Port Westward Generating Plant,Natural Gas Combined Cycle,Operating,OR,46.1792,-123.1717,Portland General Electric Co,Portland General Electric Co,372,NA,0,0,Not Considered,Low DNI
Cheyenne Power Plant,Natural Gas Combined Cycle,Planned,WY,41.139981,-104.820246,"Black Hills Corp, Cheyenne Light Fuel & Power Co",Cheyenne Light Fuel & Power Co,132,132,18,15,Good,
Blythe Energy Power Plant,Natural Gas Combined Cycle,Planned,CA,33.6157,-114.6865,Caithness Energy LLC,California Institute of Technology,0,520,0,0,Not Considered,Need more info an extra turbine capacity
California Institute of Technology,Natural Gas Combined Cycle,Operating,CA,34.3209,-118.2212,California Institute of Technology,California Institute of Technology,13,NA,0,0,Not Considered,No extra turbine space
Camarillo,Natural Gas Combined Cycle,Operating,CA,34.4555,-119.0796,Multi-Owned,OLS Energy Camarillo,31.1,NA,0,0,Not Considered,No extra turbine space
Clearwater Cogeneration Project,Natural Gas Combined Cycle,Operating,CA,33.8912,-117.6085,"Corona, City of","Corona, City of",49,NA,0,0,Not Considered,No extra turbine space
Crockett Cogeneration Project,Natural Gas Combined Cycle,Operating,CA,38.0569,-122.2161,Multi-Owned,(blank),247.4,NA,0,0,Not Considered,Need more info an extra turbine capacity
EG178 Facility,Natural Gas Combined Cycle,Operating,TX,32.7467,-100.9536,"Kinder Morgan Energy Partners, L.P.",Kinder Morgan Production Company,153.9,NA,0,0,Not Considered,No extra turbine space
Greenleaf 1 Power Plant,Natural Gas Combined Cycle,Operating,CA,39.0519,-121.6963,Calpine Corporation,Calpine Corporation,66,NA,0,0,Not Considered,No extra turbine space
El Centro,Natural Gas Combined Cycle,Planned,CA,32.8022,-115.54,Imperial Irrigation District,Imperial Irrigation District,124.4,84,0,0,Not Considered,Need more info an extra turbine capacity
El Centro,Natural Gas Combined Cycle,Operating,CA,32.8022,-115.54,Imperial Irrigation District,Imperial Irrigation District,124.4,84,0,0,Not Considered,No extra turbine space
Beatrice,Natural Gas Combined Cycle,Operating,NE,40.3286,-96.8067,Nebraska Public Power District,Nebraska Public Power District,237,NA,0,0,Not Considered,Low Operation
Terry Bundy Generating Station,Natural Gas Combined Cycle,Operating,NE,40.9108,-96.6147,Lincoln Electric System,Lincoln Electric System,119.3,NA,0,0,Not Considered,Low Operation
El Segundo Refinery,Natural Gas Combined Cycle,Operating,CA,33.9106,-118.425,Chevron Corporation,Chevron Corporation,134.2,NA,0,0,Not Considered,No extra turbine space
Harbor,Natural Gas Combined Cycle,Operating,CA,33.7856,-118.2644,Los Angeles Department of Water and Power,Los Angeles Department of Water and Power,227,NA,0,0,Not Considered,Low Operation
Inland Empire Energy Center,Natural Gas Combined Cycle,Planned,CA,33.74583,-117.1742,GE Energy,GE Energy,386.8,401,0,0,Not Considered,Need more info an extra turbine capacity
La Paloma Generating,Natural Gas Combined Cycle,Operating,CA,35.2956,-119.5919,Multi-Owned,"La Paloma Generating Company, LLC",1200,NA,0,0,Not Considered,Need more info an extra turbine capacity
Loma Linda University,Natural Gas Combined Cycle,Operating,CA,34.8428,-116.1729,Loma Linda University,Loma Linda University,11.6,NA,0,0,Not Considered,No extra turbine space
NTC/MCRD Energy Facility,Natural Gas Combined Cycle,Operating,CA,32.7353,-117.2083,Capital Power Income L . P .,Primary Energy Operations LLC,25.6,NA,0,0,Not Considered,No extra turbine space
Panda Sherman Generating Station,Natural Gas Combined Cycle,Planned,TX,33.63556,-96.60861,"Panda Energy International, Inc.","Panda Energy International, Inc.",0,500,0,0,Not Considered,Need more info an extra turbine capacity
Santa Clara Mill,Natural Gas Combined Cycle,Operating,CA,37.2273,-121.6827,Graphic Packaging Holding Company,Graphic Packaging Holding Company,27,NA,0,0,Not Considered,No extra turbine space
Thermo Fort Lupton CC Plant,Natural Gas Combined Cycle,Planned,CO,40.0979,-104.7745,Starwood Energy Infrastructure Fund LP,"Thermo Cogeneration Partnership, LP",386.5,110,0,0,Not Considered,Need more information on extra turbine capacity
Thermo Power & Electric,Natural Gas Combined Cycle,Operating,CO,40.4084,-104.6843,Capital Power Income L . P .,Primary Energy Operations LLC,110.8,NA,0,0,Not Considered,No extra turbine space
West Texas Energy Facility,Natural Gas Combined Cycle,Planned,TX,31.7281,-106.3462,Dynegy Inc.,(blank),0,500,0,0,Not Considered,Need more information on extra turbine capacity
Arvah B Hopkins,Natural Gas Combined Cycle,Operating,FL,30.4522,-84.4,Tallahassee City of,Tallahassee City of,446.75,NA,44.9,37.3,Fair,
Attala Generating Plant,Natural Gas Combined Cycle,Operating,MS,33.0142,-89.6758,"Entergy Mississippi, Inc.","Entergy Mississippi, Inc.",500,NA,19.5,17.9,Fair,
Autaugaville,Natural Gas Combined Cycle,Operating,AL,32.391885,-86.571064,Southern Power Company,Southern Power Company,1304,NA,177.2,147.2,Fair,
Barney M Davis,Natural Gas Combined Cycle,Operating,TX,27.6067,-97.3119,"Topaz Power Group, LLC","Topaz Power Group, LLC",731,NA,91.9,76.5,Good,
Barry,Natural Gas Combined Cycle,Operating,AL,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,1070.8,NA,48.9,44.6,Good,
Bastrop Energy Center,Natural Gas Combined Cycle,Operating,TX,30.1458,-97.55,"Centrica US Holdings, Inc.",Bastrop Enrgy Partners LP,727.8,NA,62,54.6,Fair,
Batesville Generation Facility,Natural Gas Combined Cycle,Operating,MS,34.3345,-89.9272,Complete Energy Holdings LLC,LSP Energy Limited Partnership,891,NA,59.3,53.1,Fair,
Baton Rouge Cogen,Natural Gas Combined Cycle,Operating,LA,30.4971,-91.1754,Exxon Mobil Corporation,Exxon Mobil Corporation,336.8,NA,0,0,Not Considered,No extra turbine space
Amite South plant,Natural Gas Combined Cycle,Planned,LA,29.949803,-90.148745,"Entergy Services, Inc.",(blank),0,550,0,0,Not Considered,Need more info an extra turbine capacity
Auburndale Energy Center,Natural Gas Combined Cycle,Operating,FL,28.0534,-81.8059,"Auburndale Power Partners, Limited Partnership","Auburndale Power Partners, Limited Partnership",173.5,NA,0,0,Not Considered,No extra turbine space
Baytown Power Plant,Natural Gas Combined Cycle,Operating,TX,29.7438,-94.6122,"Calpine Generating Company, LLC","Calpine Central, L.P.",914.6,NA,0,0,Not Considered,No extra turbine space
Bartow,Natural Gas Combined Cycle,Operating,FL,27.8613,-82.6012,Florida Power Corporation,Florida Power Corporation,1280,NA,0,0,Not Considered,Low Land
Beaumont Refinery,Natural Gas Combined Cycle,Operating,TX,30.0639,-94.0703,Mobil Oil Corp,Mobil Oil Corp,677.8,NA,0,0,Not Considered,Plant Too Old
Bosque County,Natural Gas Combined Cycle,Operating,TX,31.8594,-97.3586,Multi-Owned,"Wood Group Power Operations, Inc.",499,NA,17.7,15.8,Fair,
Brandy Branch,Natural Gas Combined Cycle,Operating,FL,30.3206,-81.9486,JEA,JEA,598.1,NA,42,37.5,Good,
Brazos Valley Project,Natural Gas Combined Cycle,Operating,TX,29.4731,-95.6244,"Calpine Construction Finance Company, L.P.","Brazos Valley Energy, LP",675.6,NA,73.4,62.8,Good,
Caledonia Power Project,Natural Gas Combined Cycle,Operating,MS,33.6464,-88.2717,Tennessee Valley Authority,Tennessee Valley Authority,801,NA,74.1,64.5,Fair,
Cane Island Power Park,Natural Gas Combined Cycle,Operating,FL,28.2764,-81.533,Multi-Owned,Kissimmee Utility Authority,370,NA,15.4,13.9,Good,
Chattahoochee Energy Facility,Natural Gas Combined Cycle,Operating,GA,33.407,-85.0387,Oglethorpe Power Corporation,Siemens Westinghouse Operating Services Company,539.7,NA,11.4,10.6,Fair,
"Choctaw Gas Generation, LLC",Natural Gas Combined Cycle,Operating,MS,33.3792,-89.2089,SUEZ Energy Generation NA,"RRI Energy Wholesale Generation, LLC",735.2,NA,11.3,10.6,Fair,
Chouteau,Natural Gas Combined Cycle,Operating,OK,36.2206,-95.2756,Associated Electric Cooperative Inc.,Associated Electric Cooperative Inc.,532.9,NA,6.4,6,Fair,
Buck (NC),Natural Gas Combined Cycle,Under Construction,NC,35.7133,-80.3767,"Duke Energy Carolinas, LLC","Duke Energy Carolinas, LLC",0,620,0,0,Not Considered,Need more info an extra turbine capacity
C D McIntosh Jr,Natural Gas Combined Cycle,Operating,FL,28.0809,-81.9256,Lakeland City of,Lakeland City of,369,NA,0,0,Not Considered,No extra turbine space
Butler Warner,Natural Gas Combined Cycle,Operating,NC,35.0986,-78.8294,Fayetteville Public Works Comm,Fayetteville Public Works Comm,245.8,NA,0,0,Not Considered,Low Operation
Cape Canaveral,Natural Gas Combined Cycle,Planned,FL,28.4694,-80.7642,Florida Power & Light Corporation,Florida Power & Light Company,0,1355,0,0,Not Considered,Low Land
Carville Energy Center,Natural Gas Combined Cycle,Operating,LA,30.2292,-91.065,"Calpine Generating Company, LLC",Carville Energy LLC,570,NA,0,0,Not Considered,Other
Channel Energy Center,Natural Gas Combined Cycle,Operating,TX,29.7189,-95.2319,"Calpine Generating Company, LLC","Channel Energy Center, LP",715,NA,0,0,Not Considered,Low DNI
Channelview,Natural Gas Combined Cycle,Operating,TX,29.8356,-95.1242,Multi-Owned,"GIM Channelview Cogeneration, LLC",918.3,NA,0,0,Not Considered,Low DNI
BP Amoco Power Station 4,Natural Gas Combined Cycle,Operating,TX,29.3794,-94.9167,Multi-Owned,(blank),191.1,NA,0,0,Not Considered,No extra turbine space
Cherokee County Cogeneration,Natural Gas Combined Cycle,Operating,SC,35.0727,-81.613,NextEra Energy Resources LLC,FPL Energy Operating Services Inc,101.2,NA,10.8,0,Fair,Trough results were poor
Colorado Bend Energy Center,Natural Gas Combined Cycle,Operating w/ Planned Expansion,TX,29.2878,-96.0683,"Constellation Energy Group, Inc.",North American Energy Services,566.1,275,59.8,40.5,Fair,
Cedar Bayou 4,Natural Gas Combined Cycle,Operating,TX,29.7483,-94.9272,Multi-Owned,"NRG Cedar Bayou Development Company, LLC",535.5,NA,0,0,Not Considered,No extra turbine space
Central Energy Plant,Natural Gas Combined Cycle,Operating,FL,28.4263,-81.5806,Reedy Creek Improvement District,Reedy Creek Improvement District,70,NA,0,0,Not Considered,Low Operation
Chouteau,Natural Gas Combined Cycle,Under Construction,OK,36.2206,-95.2756,Associated Electric Cooperative Inc.,Associated Electric Cooperative Inc.,0,540,0,0,Fair,Need more info an extra turbine capacity
Corpus Christi Energy Center,Natural Gas Combined Cycle,Operating,TX,27.8139,-97.4283,"Calpine Generating Company, LLC",Corpus Christi Cogeneration L.P.,575.5,NA,5.4,5.1,Good,
Cottonwood Energy,Natural Gas Combined Cycle,Operating,TX,30.2588,-93.7353,Cottonwood Energy Company L . P.,Cottonwood Energy Company L . P.,1336,NA,42.8,35.6,Good,
Cogen Lyondell,Natural Gas Combined Cycle,Operating,TX,29.8144,-95.1103,Multi-Owned,"Optim Energy, LLC",643.6,NA,0,0,Not Considered,Low DNI
Dan River,Natural Gas Combined Cycle,Planned,NC,36.4862,-79.7208,"Duke Energy Carolinas, LLC","Duke Energy Carolinas, LLC",0,620,0,0,Not Considered,Plant Too Old
Decatur Energy Center (Solutia Cogen),Natural Gas Combined Cycle,Operating,AL,34.6292,-87.0214,"Calpine Generating Company, LLC",Calpine Eastern Corporation,711,NA,0,0,Not Considered,Low DNI
Deer Park Energy Center,Natural Gas Combined Cycle,Operating,TX,29.7153,-95.1361,Deer Park Energy Center LLC,Deer Park Energy Center LLC,996,400,0,0,Not Considered,Low DNI
Deer Park Energy Center,Natural Gas Combined Cycle,Planned,TX,29.7153,-95.1361,Deer Park Energy Center LLC,Deer Park Energy Center LLC,996,400,0,0,Not Considered,Low DNI
Dow Chemical Louisiana Operations,Natural Gas Combined Cycle,Operating,LA,30.3186,-91.2325,Dow Chemical Company,Dow Chemical Company,714.5,NA,0,0,Not Considered,Plant Too Old
Evangeline Power Project,Natural Gas Combined Cycle,Operating,LA,30.8442,-92.2606,Cleco Midstream Resources LLC,Cleco Evangeline LLC,922.8,NA,71.7,63.4,Fair,
Forney Generating Facility,Natural Gas Combined Cycle,Operating,TX,32.7563,-96.4916,Multi-Owned,"FPLE Froney, LLC",1783.8,NA,246.8,205.8,Fair,
Columbia Energy Center,Natural Gas Combined Cycle,Operating,SC,33.8692,-81.0183,"Calpine Generating Company, LLC",Columbia Energy LLC,668.5,NA,0,0,Not Considered,Low Operation
Crist,Natural Gas Combined Cycle,Planned,FL,30.5661,-87.2289,Gulf Power Company,Gulf Power Company,0,600,0,0,Not Considered,Need more info an extra turbine capacity
Dallas/Fort Worth Airport,Natural Gas Combined Cycle,Planned,TX,32.8967,-97.0406,Dallas/Fort Worth Airport,(blank),0,110,0,0,Not Considered,Need more info an extra turbine capacity
Dow Chemical Texas Operations,Natural Gas Combined Cycle,Operating,TX,28.99,-95.36,Dow Chemical Company,Dow Chemical Company,1010.6,NA,0,0,Not Considered,No extra turbine space
Dow Freeport,Natural Gas Combined Cycle,Operating,TX,28.9433,-95.4584,Calpine Corporation,Dow Chemical Company,260,NA,0,0,Not Considered,No extra turbine space
Eastex Cogeneration Project,Natural Gas Combined Cycle,Operating,TX,32.4573,-94.6541,Eastman Chemical Company,Eastman Cogeneration LP,467.7,NA,0,0,Not Considered,No extra turbine space
Effingham County,Natural Gas Combined Cycle,Operating,GA,32.2792,-81.2842,ArcLight Capital Partners LLC,CAMS Mackinaw Power LLC,594.3,NA,0,0,Not Considered,No extra turbine space
Fort Myers,Natural Gas Combined Cycle,Operating,FL,26.6967,-81.7831,Florida Power & Light Corporation,Florida Power & Light Company,1644.2,NA,14.9,14,Good,
Franklin CC,Natural Gas Combined Cycle,Operating,AL,32.6094,-85.0961,Southern Power Company,Southern Power Company,1995.7,NA,163.4,140.4,Fair,
Franklin CC,Natural Gas Combined Cycle,Planned,AL,32.6094,-85.0961,Southern Power Company,Southern Power Company,0,688.1,76.3,65.5,Fair,
Freestone Energy Center,Natural Gas Combined Cycle,Operating,TX,31.8907,-96.1128,"Calpine Generating Company, LLC",Freestone Power Generation LP,1036,NA,35.4,32.6,Fair,
Frontera Generation Facility,Natural Gas Combined Cycle,Operating,TX,26.208,-98.3992,"Centrica US Holdings, Inc.",Frontera Generation Limited Partnership,529,NA,13,12,Fair,
GenPower Anderson,Natural Gas Combined Cycle,Planned,SC,34.5299,-82.7122,GenPower LLC,(blank),0,655.6,83.8,69.7,Fair,
GenPower Earleys,Natural Gas Combined Cycle,Planned,NC,36.305926,-76.986952,GenPower LLC,GenPower LLC,0,670,86.6,72,Good,
GenPower Kelley,Natural Gas Combined Cycle,Planned,AL,33.5193,-86.8012,GenPower LLC,GenPower LLC,0,1340,171.8,143,Fair,
GenPower McIntosh,Natural Gas Combined Cycle,Planned,GA,32.3558,-81.1683,GenPower LLC,GenPower LLC,0,670,86.6,72,Good,
Green Country Energy Project,Natural Gas Combined Cycle,Operating,OK,35.9833,-95.9346,Multi-Owned,Green County OP Services LLC,903.9,NA,95,82.2,Good,
Guadalupe,Natural Gas Combined Cycle,Operating,TX,29.6237,-98.1395,"PSEG Texas, LP",Guadalupe Power Partners LP,1142.2,NA,34.3,50.8,Good,
H L Culbreath Bayside,Natural Gas Combined Cycle,Operating,FL,27.9072,-82.4231,Tampa Electric Company,Tampa Electric Company,2014.4,NA,27.1,33.4,Good,
Elmore County Combined Cycle Plant,Natural Gas Combined Cycle,Planned,AL,32.4971,-86.331,Alabama Power Company,(blank),0,800,0,0,Not Considered,Need more info an extra turbine capacity
Ennis-Tractebel Power Project,Natural Gas Combined Cycle,Operating,TX,32.3194,-96.6739,SUEZ Energy Generation NA,Ennis-Tractabel Power Co LP,418,NA,0,0,Not Considered,No extra turbine space
Formosa Plastics Corp,Natural Gas Combined Cycle,Operating,LA,30.4992,-91.1872,"Formosa Plastics Corporation, USA","Formosa Plastics Corporation, USA",93.5,NA,0,0,Not Considered,No extra turbine space
Formosa Utility Venture,Natural Gas Combined Cycle,Operating,TX,28.6917,-96.5417,"Formosa Plastics Corporation, USA","Formosa Plastics Corporation, USA",689.4,NA,0,0,Not Considered,No extra turbine space
Freeport,Natural Gas Combined Cycle,Operating,TX,28.9433,-95.4584,BASF Corporation,BASF Corporation,92.7,NA,0,0,Not Considered,No extra turbine space
GE Plastics Cogen,Natural Gas Combined Cycle,Operating,AL,32.3102,-86.5242,Alabama Power Company,Alabama Power Company,97,NA,0,0,Not Considered,No extra turbine space
Hidalgo Energy Center,Natural Gas Combined Cycle,Operating,TX,26.3417,-98.1757,Multi-Owned,"Calpine Hildalgo Energy Center, L.P.",551.3,NA,21.2,19.5,Good,
Hillabee Energy Center,Natural Gas Combined Cycle,Operating,AL,32.9346,-85.9597,"Constellation Energy Resources, LLC","Constellation Energy Group, Inc.",822.8,NA,46.3,41.8,Fair,
Hinds Energy Facility,Natural Gas Combined Cycle,Operating,MS,32.412,-90.2315,KGen Partners LLC,"KGen Hinds, LLC",502,NA,30.2,27.2,Fair,
Hines,Natural Gas Combined Cycle,Operating,FL,27.7886,-81.8694,Florida Power Corporation,Florida Power Corporation,2262.5,NA,38.4,35.1,Good,
Ingleside Cogeneration,Natural Gas Combined Cycle,Operating,TX,27.8827,-97.2429,Ingleside Cogeneration LP,Ingleside Cogeneration LP,548.2,NA,37,33.1,Good,
Horseshoe Lake,Natural Gas Combined Cycle,Operating,OK,35.5089,-97.1789,Oklahoma Gas and Electric Company,Oklahoma Gas and Electric Company,247,NA,0,0,Not Considered,Plant Too Old
Jack Energy Facility,Natural Gas Combined Cycle,Operating,TX,33.1691,-97.8246,Brazos Electric Power Cooperative Inc.,Brazos Electric Power Cooperative Inc.,640,620,82.3,68.6,Good,
Jack Energy Facility,Natural Gas Combined Cycle,Planned,TX,33.1691,-97.8246,Brazos Electric Power Cooperative Inc.,Brazos Electric Power Cooperative Inc.,640,620,82.3,68.6,Good,
Gregory Power,Natural Gas Combined Cycle,Operating,TX,27.8881,-97.2572,Multi-Owned,"Gregory Power Partners, LP",432,NA,0,0,Not Considered,No extra turbine space
H.F. Lee Energy Complex,Natural Gas Combined Cycle,Planned,NC,35.3775,-78.0875,Carolina Power & Light Company,Carolina Power & Light Company,0,950,0,0,Not Considered,Need more info an extra turbine capacity
Hansel,Natural Gas Combined Cycle,Operating,FL,28.2908,-81.4069,Kissimmee Utility Authority,Kissimmee Utility Authority,55,NA,0,0,Not Considered,Low Operation
Hardee Power Station,Natural Gas Combined Cycle,Operating,FL,27.6364,-81.9636,Multi-Owned,Invenergy Services LLC,287.4,NA,0,0,Not Considered,No extra turbine space
Hays Energy Project,Natural Gas Combined Cycle,Operating,TX,29.7806,-97.9894,"International Power America, Inc.","International Power America, Inc.",989,NA,0,0,Not Considered,Need more info an extra turbine capacity
Henry D King,Natural Gas Combined Cycle,Operating,FL,27.45,-80.3239,Fort Pierce Utilities Authority,Fort Pierce Utilities Authority,30.8,NA,0,0,Not Considered,Low Operation
Hiram Clarke,Natural Gas Combined Cycle,Planned,TX,29.65151,-95.452695,Biofuels Power Corporation,(blank),0,150,0,0,Not Considered,Need more info an extra turbine capacity
Hog Bayou Energy Center,Natural Gas Combined Cycle,Operating,AL,30.7478,-88.0575,Calpine Corporation,Calpine Corporation,329,NA,0,0,Not Considered,Low Operation
Houston Chemical Complex Battleground,Natural Gas Combined Cycle,Operating,TX,29.7314,-95.0839,"Oxy Vinyls, LP","Oxy Vinyls, LP",316.4,NA,0,0,Not Considered,No extra turbine space
J L Bates,Natural Gas Combined Cycle,Planned,TX,26.2222,-98.3944,ReNu Power LLC,(blank),0,182,0,0,Not Considered,Need more info an extra turbine capacity
Jack McDonough,Natural Gas Combined Cycle,Under Construction,GA,33.8244,-84.475,Georgia Power Company,Georgia Power Company,0,2520,0,0,Not Considered,Need more info an extra turbine capacity
Jasper County,Natural Gas Combined Cycle,Operating,SC,32.3592,-81.1236,South Carolina Electric & Gas Co.,South Carolina Electric & Gas Co.,1001.7,NA,103.4,89.3,Good,
Johnson County,Natural Gas Combined Cycle,Operating,TX,32.3994,-97.4078,Brazos Electric Power Cooperative Inc.,Brazos Electric Power Cooperative Inc.,282.6,NA,14.7,13.4,Good,
Kiamichi Energy Facility,Natural Gas Combined Cycle,Operating,OK,34.6831,-95.9349,Multi-Owned,Kiowa Power Partners LLC,1370,NA,176.7,147.8,Fair,
Lagoon Creek,Natural Gas Combined Cycle,Under Construction,TN,35.6578,-89.3964,Tennessee Valley Authority,Tennessee Valley Authority,0,560,44.8,39.8,Good,
Lamar Power,Natural Gas Combined Cycle,Operating,TX,33.6314,-95.589,NextEra Energy Resources LLC,Lamar Power Partners LP,1090.8,NA,60.4,54.2,Good,
Lansing Smith,Natural Gas Combined Cycle,Operating,FL,30.2689,-85.7003,Gulf Power Company,Gulf Power Company,619.7,NA,9.9,9.2,Good,
Limestone (TX),Natural Gas Combined Cycle,Planned,TX,31.4219,-96.2525,NRG Texas Power LLC,NRG Texas Power LLC,1849.8,800,22,59.5,Fair,
Lost Pines 1 Power Plant,Natural Gas Combined Cycle,Operating,TX,30.1478,-97.27,GenTex Power Corp.,Lower Colorado River Authority,595,NA,8.4,7.9,Fair,
Louisiana 1,Natural Gas Combined Cycle,Operating,LA,30.4903,-91.1875,Exxon Mobil Corporation,"Entergy Gulf States Louisiana, L.L.C.",406.3,NA,19.2,17.4,Good,
John Sevier,Natural Gas Combined Cycle,Planned,TN,36.3767,-82.9639,Tennessee Valley Authority,Tennessee Valley Authority,0,880,0,0,Not Considered,Plant Too Old
L V Sutton,Natural Gas Combined Cycle,Planned,NC,34.2824,-77.9864,Carolina Power & Light Company,Carolina Power & Light Company,0,620,0,0,Not Considered,Plant Too Old
La Palma,Natural Gas Combined Cycle,Planned,TX,26.124,-97.6197,ReNu Power LLC,(blank),0,255,0,0,Not Considered,Need more info an extra turbine capacity
Lake Charles Cogen,Natural Gas Combined Cycle,Operating,LA,30.2637,-93.2773,Multi-Owned,"PPG Industries, Incorporated",493,NA,0,0,Not Considered,Low DNI
Lake Cogen,Natural Gas Combined Cycle,Operating,FL,28.9158,-81.676,"Teton Power Funding, LLC",Terra-Gen Operating Company LLC,157.7,NA,0,0,Not Considered,No extra turbine space
Larsen Memorial,Natural Gas Combined Cycle,Operating,FL,28.0797,-81.9228,Lakeland City of,Lakeland City of,126.5,NA,0,0,Not Considered,Low Operation
Lauderdale,Natural Gas Combined Cycle,Operating,FL,26.0681,-80.1983,Florida Power & Light Company,Florida Power & Light Company,1042.4,NA,0,0,Not Considered,Low Land
Lawton Energy Cogen Facility,Natural Gas Combined Cycle,Planned,OK,34.5431,-98.3244,Energetix,(blank),0,308,0,0,Not Considered,Need more info an extra turbine capacity
Lewis Creek,Natural Gas Combined Cycle,Planned,TX,30.4364,-95.5215,"Entergy Texas, Inc.",(blank),0,550,0,0,Not Considered,Need more info an extra turbine capacity
Lon C Hill,Natural Gas Combined Cycle,Planned,TX,27.84613,-97.6149,ReNu Power LLC,(blank),0,530,0,0,Not Considered,Need more info an extra turbine capacity
Magic Valley Generating Station,Natural Gas Combined Cycle,Operating,TX,26.3403,-98.19,"Calpine Construction Finance Company, L.P.",Calpine Corporation,801,NA,22.2,20.6,Good,
Manatee,Natural Gas Combined Cycle,Operating,FL,27.6058,-82.3456,Florida Power & Light Company,Florida Power & Light Company,1224.6,NA,93,82.6,Good,
Martin,Natural Gas Combined Cycle,Operating,FL,27.0536,-80.5628,Florida Power & Light Company,Florida Power & Light Company,2448.5,NA,92.9,82,Good,
McClain Energy Facility,Natural Gas Combined Cycle,Operating,OK,35.2979,-97.5896,Multi-Owned,Oklahoma Gas and Electric Company,489,NA,32.6,29.2,Good,
McIntosh CC,Natural Gas Combined Cycle,Operating,GA,32.3558,-81.1683,Georgia Power Company,Georgia Power Company,1376.6,NA,152.3,130.6,Good,
McWilliams,Natural Gas Combined Cycle,Operating,AL,31.4001,-86.4767,PowerSouth Energy Cooperative,PowerSouth Energy Corporation,654,NA,11.8,11,Fair,
Moselle,Natural Gas Combined Cycle,Planned,MS,31.5289,-89.2992,South Mississippi Electric Power Association,South Mississippi Electric Power Association,0,268,36,29.8,Good,
Mulberry Cogen,Natural Gas Combined Cycle,Operating,FL,27.8489,-81.8775,Multi-Owned,"Northern Star Generation, LLC",131.5,NA,8.3,7.4,Fair,
Magnolia Energy,Natural Gas Combined Cycle,Operating,MS,34.8358,-89.2017,Kelson Energy LLC,North American Energy Services,1003.5,NA,0,0,Not Considered,Low Operation
Mid-Georgia Cogen,Natural Gas Combined Cycle,Operating,GA,32.4853,-83.6036,"Perennial Power Holdings, Inc.",Caithness Energy LLC,323,NA,0,0,Not Considered,Low Operation
Midlothian Energy Project,Natural Gas Combined Cycle,Operating,TX,32.4302,-97.0537,"International Power America, Inc.","International Power America, Inc.",1734,NA,0,0,Not Considered,Need more info an extra turbine capacity
Midulla Generating Station,Natural Gas Combined Cycle,Operating,FL,27.6417,-81.9625,Seminole Electric Cooperative Inc.,Seminole Electric Cooperative Inc.,587,NA,0,0,Not Considered,No extra turbine space
Mobile Bay Onshore Treating Facility,Natural Gas Combined Cycle,Operating,AL,30.7943,-88.2102,Exxon Mobil Corporation,Exxon Mobil Corporation,12,NA,0,0,Not Considered,No extra turbine space
Monroe CC Plant,Natural Gas Combined Cycle,Planned,GA,33.8239,-83.713,Oglethorpe Power Corporation,(blank),0,605,0,0,Not Considered,Need more info an extra turbine capacity
Mountain Creek,Natural Gas Combined Cycle,Planned,TX,32.7253,-96.9361,"Exelon Generation Company, LLC",(blank),0,640,0,0,Not Considered,Need more info an extra turbine capacity
Murray Generating Facility,Natural Gas Combined Cycle,Operating,GA,34.7189,-84.9353,KGen Partners LLC,"KGen Murray I and II, LLC",1192,NA,0,0,Not Considered,Low DNI
Northeastern,Natural Gas Combined Cycle,Operating,OK,36.4317,-95.7008,Public Service Company of Oklahoma,Public Service Company of Oklahoma,527,NA,0,0,Not Considered,Plant Too Old
Nueces Bay,Natural Gas Combined Cycle,Operating,TX,27.80028,-97.39611,"Topaz Power Group, LLC","Topaz Power Group, LLC",677,NA,70.6,66.1,Good,
Oneta Energy Center,Natural Gas Combined Cycle,Operating,OK,36.0119,-95.6967,"Calpine Generating Company, LLC","Calpine Central, L.P.",1214,NA,308,130.2,Fair,
Osprey Energy Center,Natural Gas Combined Cycle,Operating,FL,28.0525,-81.8083,"Calpine Construction Finance Company, L.P.","Calpine Operating Services Company, Inc.",644.2,NA,10.8,8.9,Fair,
